CNT,Promedio_Proactividad,Promedio_Rendimiento,Media_Global_Proactividad,Media_Global_Rendimiento,Cuadrante,REGION
HRV,-0.04022906419773517,462.98475929910353,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
HUN,-0.021328942639301723,479.72655884156177,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
IDN,0.0019474621669634303,379.03127822010566,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
IRL,0.10452157124739435,492.179588866942,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
ISL,0.011531183189010637,459.27331258928575,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
ISR,-0.310751292102098,457.1238245720685,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
ITA,-0.05814456247956976,474.0337175890826,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
JAM,-0.18303262672632553,371.4099119545572,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Americas
JOR,0.0039172058466941835,360.3071909090909,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
JPN,-0.504129046335664,534.9294799652778,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
KAZ,0.17380724054005314,446.01273215640646,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Asia
KHM,-0.28727355959090595,327.4092933888994,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Asia
KOR,-0.07986450941688922,531.0930331887201,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
KSV,0.01617469726527152,352.4104765886843,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Europe
LTU,-0.04164699451262388,471.54377935786135,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
LVA,-0.050988938871601795,482.5802651405174,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
MAC,-0.2842279836149525,552.0542690009124,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
MAR,-0.03779817948162507,363.36233186253094,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Africa
MDA,0.0033927855992336863,415.5239377706495,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Europe
MEX,-0.01238822026992879,395.4058055820611,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
MKD,-0.032203111036926836,390.4986265506808,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Europe
MLT,-0.017113045219704047,468.9976039974416,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
MNE,-0.006260422309086542,406.0052076644226,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Europe
MNG,-0.1184295055607908,423.9253181597371,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Asia
MYS,-0.12240205371528087,409.4915092658084,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Asia
NLD,-0.12748614795042404,491.04093218390807,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
NOR,0.10331381018380731,468.47831216154896,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
NZL,0.04575062751710036,478.8743747543785,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Oceania
PAN,-0.03356826592987838,353.4983263864437,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Americas
PER,0.18609367602452834,394.15256621699194,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
PHL,-0.02753046631643973,354.1668255526206,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Asia
POL,-0.19854118799344264,494.4545991349193,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
PRT,0.09326424488313069,475.5774839687914,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
PRY,0.17362514199691237,340.78028027143984,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
PSE,-0.0064464189374279345,364.6617301454775,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
QAT,0.007106031743502204,411.989310825951,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
ROU,0.004832557343203065,435.55026704236826,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Europe
SAU,0.03715512533926643,389.20505232390303,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
SGP,0.051949647248604916,573.9839057372086,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Asia
SLV,0.03541603308908757,345.1215754064131,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
