CNT,Grupo,Media_Rendimiento,REGION
SRB,Inmigrante 2da generación,445.3431887096774,Europe
SRB,Nativo,439.2455834640181,Europe
SVK,Inmigrante 1ra generación,460.0951546875,Europe
SVK,Inmigrante 2da generación,461.9820027027027,Europe
SVK,Nativo,468.7586473702604,Europe
SVN,Inmigrante 1ra generación,417.82814611528823,Europe
SVN,Inmigrante 2da generación,431.79382170542635,Europe
SVN,Nativo,476.94833387203164,Europe
SWE,Inmigrante 1ra generación,422.8699299363057,Europe
SWE,Inmigrante 2da generación,448.0934141975309,Europe
SWE,Nativo,494.85634263969973,Europe
TAP,Inmigrante 1ra generación,438.7220666666667,Asia
TAP,Inmigrante 2da generación,495.008272,Asia
TAP,Nativo,534.2392800687285,Asia
THA,Inmigrante 1ra generación,369.2656138888889,Asia
THA,Inmigrante 2da generación,369.03423740458015,Asia
THA,Nativo,415.4995992795389,Asia
TUR,Inmigrante 1ra generación,400.78296,Otro
TUR,Inmigrante 2da generación,460.7241538461539,Otro
TUR,Nativo,452.5701620297586,Otro
URY,Inmigrante 1ra generación,424.06416875,Americas
URY,Inmigrante 2da generación,413.8190913043478,Americas
URY,Nativo,409.0898275825019,Americas
USA,Inmigrante 1ra generación,440.21451904761904,Americas
USA,Inmigrante 2da generación,459.76362145454544,Americas
USA,Nativo,465.0214951372998,Americas
UZB,Inmigrante 1ra generación,333.4876703703704,Asia
UZB,Inmigrante 2da generación,340.4558625,Asia
UZB,Nativo,364.1792309504018,Asia
VNM,Inmigrante 1ra generación,422.3101666666667,Asia
VNM,Inmigrante 2da generación,523.7554250000001,Asia
VNM,Nativo,468.8204626794258,Asia
