PVxMPIN,PVxSCIE
426.0177999999999,437.4433
376.2552999999999,436.29620000000006
599.5917999999999,608.4576
419.8282,329.2968
305.4626,334.4725
504.1995,498.9017
431.8479,499.9099
399.2237,418.3286999999999
284.83500000000004,337.53370000000007
389.52650000000006,390.3981
664.3203,647.3651
645.1319,616.8495
456.83,446.542
563.9833000000001,524.4417000000001
501.1016,506.5595
543.8578,615.447
436.3744,487.3247
344.3217,390.5392
640.9775000000001,644.8014000000001
613.5885000000001,694.2649000000001
337.6237,391.3917
171.5023,225.8774
608.0476,647.5323
460.4085,440.3024
536.7975,487.7633
611.3521000000001,634.2911
350.5126,393.7324
542.0027,544.8675999999999
343.0837,384.1656
618.9719,683.1634999999999
470.731,427.13700000000006
348.11409999999995,415.1459000000001
380.9237,350.96410000000003
442.3357,511.2386
445.4978000000001,508.5685
469.0271,492.2317
444.7496,446.389
386.519,484.9761
343.8394,333.2419
503.4982,482.1392
347.0812,353.1712
375.5263,359.6973
479.58240000000006,485.1192
629.5892,579.1648
587.0766000000001,582.2006
622.8494,627.6034
413.6501999999999,410.8469999999999
349.8078,326.1245
434.2252,385.3263
406.5835,367.5979
320.9476,316.9485
575.5367000000001,640.6755
495.2571000000001,533.4636
432.4471,434.2617
513.3170000000001,470.232
369.6364,364.9858
440.4104,353.8835
515.9047,467.8311
411.9989,386.096
624.1021000000001,563.6884
463.1251,425.7406
611.5787,594.3958
464.4749,482.92080000000016
352.169,359.33509999999995
453.6866,472.73640000000006
407.4543,405.8224
450.5642,487.4335
372.2314,367.94040000000007
452.03240000000005,412.29410000000007
379.5293,387.9744
523.2484000000001,506.40420000000006
323.4886,294.6998
303.2015,363.7568
381.9575,405.076
567.8826999999999,561.3197000000001
478.1624,510.1895
556.6381,557.8542000000001
517.5834000000001,462.0033
494.7290000000001,475.8776
380.5105,349.3464
610.6252000000001,647.3093999999999
553.4691,518.6334
386.7125,393.7651
379.5962,472.1272
522.9680999999999,530.3621
525.9053000000001,515.9485
492.28510000000006,583.9957999999999
424.8407,399.0367
410.44220000000007,395.3768
617.4110000000001,553.309
552.6415,583.1818999999999
549.9295,483.247
498.8146,455.1029
635.3249,602.0414000000001
378.2892000000001,481.82610000000005
376.68430000000006,397.1984000000001
401.8333999999999,476.7308
584.3599999999999,586.1058
482.2772,515.6699000000001
652.5148999999999,527.6805999999999
490.6162000000001,414.4955
343.12230000000005,358.4895
407.7256,424.1337
354.4687,349.4431
463.7302,465.16399999999993
382.7011,447.4181
667.9399999999999,678.3119
602.1193999999999,514.1945
291.9256,273.7126999999999
444.9826,466.2534
404.5019,453.4572
311.93300000000005,306.54380000000003
338.05409999999995,332.26560000000006
567.0591999999999,633.7737
392.0964,377.4788
386.9401,414.1719
387.08510000000007,426.1075000000001
466.1718,431.0526
676.8865,654.4438
641.1871,600.7031
439.6368000000001,429.0362999999999
533.1006,552.9673
380.6977,400.1041
476.3999,475.1164
514.7463999999999,458.0401
367.4426,394.7913
365.9528,384.0986
353.658,360.5126
649.809,691.7583999999999
575.6160000000001,592.7219
335.0425,381.8397000000001
271.0967,310.7102
507.9426,554.2946999999999
314.0937,343.64680000000004
412.7853999999999,376.6452
440.5637,435.4108
375.2256,368.7865
388.794,430.9914
323.973,337.7886
360.6313,439.4998000000001
350.05830000000003,431.6240000000001
403.8108,389.2077000000001
258.6248,275.8376
447.9849,480.95560000000006
393.4274,415.6163
396.2124,453.7305
283.1726,342.4482
350.2173,321.6969
338.2670999999999,418.7786
472.0293,530.5518000000001
399.7836,456.5550999999999
502.346,529.5364999999999
398.1058,425.042
435.7316,423.72800000000007
540.7551,572.2884
437.0027,379.0986
509.82030000000015,467.7527
453.8421,444.3414
401.6857,389.0639
575.2754,535.2016
423.2889,449.7138
356.3387,375.7355
285.4221,320.1743
380.3953,381.9062
566.2718,656.3596000000001
406.8224,473.5863000000001
391.901,355.9392
452.4700000000001,512.4239
473.9676,505.9195000000001
232.6329,244.9955
435.85419999999993,481.2264
438.6327,409.3239
427.4254,437.874
279.5209,290.7396
568.7207999999999,535.3507000000001
459.8202,409.6954
300.748,340.78090000000003
473.9456,451.1941
486.1345,567.9907000000001
325.6449,353.56499999999994
327.9226,329.9818
533.2422,554.6524
544.2873000000001,543.2224
400.719,479.9475000000001
296.4239,259.6222
389.3054,438.7889
488.5968,450.8564
325.1539000000001,353.97470000000004
591.7846000000001,565.8333
554.4825,575.4218999999999
542.257,520.9715000000001
538.4437,592.1216999999999
357.9089,379.7582
419.4479,423.8555
492.9189,596.7417
329.1874,337.194
436.2211,418.2503999999999
550.3990999999999,494.5603
628.4005999999999,597.0813
402.5728,450.6434
399.9366000000001,478.8525
317.51899999999995,304.81180000000006
308.6603,335.1057
481.846,532.9094
437.9756,525.8925999999999
551.1218999999999,563.8565000000001
409.0526,395.8952
407.8011,351.0857
493.7549000000001,473.8456
498.93820000000005,475.5048
510.96969999999993,551.8614
350.92390000000006,407.23030000000006
355.2658,355.7295000000001
539.4861000000001,591.6464
500.2609,493.54530000000005
373.9237,366.9367
336.2105,369.1586
407.3668,393.1283
406.2255,361.5967
415.1728,461.0878000000001
537.0705,542.0357
523.722,565.7319
415.8487999999999,442.0745
478.2712,494.46940000000006
451.9385,375.5814
563.5507,552.0219999999999
768.9408999999999,633.534
460.0344,501.61980000000005
491.0505999999999,480.444
397.1782,448.41960000000006
525.8665,562.7572000000001
352.72610000000003,462.7315
436.5785000000001,430.0021
565.0974,647.5309
527.3986000000001,585.8039
411.7171,391.7086000000001
317.2629,337.42299999999994
517.3011,518.5218
556.6076,534.7691000000001
549.8307000000001,527.7304999999999
245.4492,371.4144
667.4648,616.4594999999999
458.0794,527.769
464.7536,467.7297
