ESCS,PVxSCIE,REGION
-0.4094,490.3984,Americas
0.9125,326.7556,Otro
0.4017,473.9261,Asia
-0.6473,510.22649999999993,Europe
-0.4958,340.1434,Asia
-0.8269,414.89540000000005,Americas
1.1127,625.1413,Europe
-0.0174,303.3777,Asia
0.5254416747181965,590.2053999999999,Europe
-1.9338,463.4666000000001,Asia
0.1604,419.2657,Asia
0.6813,622.5353,Asia
1.3658,532.2836,Europe
-1.9352,311.07820000000004,Asia
-1.203,395.0764,Americas
-0.6308,420.8175,Europe
0.0682,644.953,Asia
0.9422,390.6772,Americas
0.1027,582.097,Europe
1.182,601.3271,Europe
0.9281,416.0876999999999,Europe
-0.1934,390.2982,Europe
1.0943,507.9959999999999,Americas
-0.1486,521.1321,Europe
-0.2783,466.6728999999999,Asia
-0.012,618.7855,Americas
-0.6375,335.62409999999994,Asia
-0.1049,508.5203,Europe
0.6176,490.29410000000007,Asia
-1.8013,242.4277,Americas
-1.8433,232.1467,Europe
-0.9752387652409521,374.3165,Americas
-1.1721,329.4614,Americas
0.7343,426.4356,Europe
0.573,446.9207,Asia
0.5663,636.7902999999999,Asia
-2.4278,333.525,Europe
-1.2963,348.36240000000004,Asia
-0.7837,434.5764,Americas
0.9105,514.6654000000001,Americas
-0.7346,418.4923,Asia
1.3811,527.8162,Europe
0.7113,269.2915,Asia
-0.2171,374.5467,Europe
-0.3528,469.1060000000001,Asia
0.504,383.1962,Asia
1.0329,585.4368999999999,Americas
0.1613,593.5310999999999,Europe
0.2175,411.3155,Europe
-2.9668,370.8667,Americas
0.0515,629.0016999999999,Asia
0.0921,454.8973,Asia
-1.1421,429.4998000000001,Asia
-0.429,637.4588,Europe
-0.0612,439.1567999999999,Americas
0.5912,421.6728999999999,Asia
0.6988,542.4403,Europe
0.9437,560.7142999999999,Europe
-2.2736,404.6175,Asia
-0.691,345.4271,Asia
0.6527,504.14510000000007,Europe
0.0602668108467809,399.3068,Europe
-1.3664,417.6878,Europe
-0.1611,340.8764,Americas
-0.2952,431.7242,Europe
-1.9185,402.9620000000001,Otro
-0.2272,534.4125,Asia
-2.1025,312.6017,Asia
0.6956,502.0534,Asia
-2.1926,371.497,Europe
